Admin,Latitude,Longitude,Area,Medic,Ward,Beds,Urban,Population,Essential,Reproductive,Nhos,Ndocs,OpenYear,OpenMonth,OpenDay,CloseYear,CloseMonth,CloseDay,Date,Censored
5350000,35.20143,128.8116191,358.62,2,,,1,542338,1,1,74,2073,2004,1,3,,,,7489,0
5350000,35.2274619,128.8823165,865.59,1,,,1,542338,1,1,74,2073,2004,1,24,,,,7468,0
5310000,35.1781094,128.1459474,261.62,2,,,1,348096,1,1,33,2985,2015,6,23,,,,3300,0
5310000,35.1911553,128.1217547,300.24,1,,,1,348096,0,0,33,2985,2015,7,27,,,,3266,0
5370000,34.8900341,128.6248031,254.7,8,,,1,245754,1,1,15,830,2006,2,7,,,,6723,0
5380000,35.3776229,129.1539908,180,2,,,1,352229,1,1,39,3534,1997,4,25,,,,9933,0
5380000,35.3619178,129.0483436,66.36,1,,,1,352229,1,1,39,3534,1997,9,3,,,,9802,0
5380000,35.3378116,129.0265943,728.28,3,1,10,1,352229,1,1,39,3534,1998,4,25,,,,9568,0
5380000,35.3436516,129.037901,312,1,1,3,1,352229,0,0,39,3534,1998,4,30,,,,9563,0
5380000,35.3338423,129.0087899,65.88,1,,,1,352229,1,1,39,3534,2000,8,22,,,,8718,0
5380000,35.3418565,129.0378728,133.2,1,,,1,352229,1,0,39,3534,2000,12,9,,,,8609,0
5380000,35.3369672,129.0276717,125,1,,,1,352229,0,0,39,3534,2001,3,14,,,,8514,0
5380000,35.3382464,129.0338539,119.46,1,,,1,352229,1,1,39,3534,2001,9,5,,,,8339,0
5380000,35.3703493,129.1484424,935.53,1,11,29,1,352229,1,1,39,3534,2001,10,4,,,,8310,0
5380000,35.4138619,129.1702929,639.62,3,,,1,352229,1,1,39,3534,1999,4,19,,,,9209,0
5380000,35.328743,129.0143074,178,2,,,1,352229,1,1,39,3534,1999,5,13,,,,9185,0
5380000,35.3436147,129.0354399,314,1,,,1,352229,1,1,39,3534,1999,8,12,,,,9094,0
5380000,35.4098941,129.1607284,258.68,1,,,1,352229,1,1,39,3534,1999,11,2,,,,9012,0
5380000,35.3366972,129.0317651,214.49,1,,,1,352229,1,1,39,3534,2000,3,18,,,,8875,0
5310000,35.1691,128.0537983,142.4,1,,,1,348096,1,1,33,2985,2006,7,7,,,,6573,0
5310000,35.1958937,128.0837309,180.45,1,,,1,348096,1,1,33,2985,2007,1,22,,,,6374,0
5310000,35.1935157,128.1220683,171.35,1,,,1,348096,1,1,33,2985,2007,2,23,,,,6342,0
5310000,35.1978757,128.0840277,290,1,,,1,348096,1,1,33,2985,2007,4,5,,,,6301,0
5370000,34.8897577,128.6226958,125,1,,,1,245754,1,1,15,830,2004,7,13,,,,7297,0
5310000,35.1798565,128.1104989,197.49,1,1,1,1,348096,0,0,33,2985,2006,5,19,,,,6622,0
5310000,35.2671965,128.0796003,116.82,1,,,0,348096,1,0,33,2985,2006,1,1,,,,6760,0
5310000,35.2820746,128.1101212,104.76,1,,,0,348096,1,0,33,2985,2007,1,1,,,,6395,0
5310000,35.2176184,128.1457105,159.35,1,,,0,348096,1,1,33,2985,2007,9,4,,,,6149,0
5310000,35.1907584,128.07598,222.28,3,,,1,348096,1,0,33,2985,2008,2,25,,,,5975,0
4500000,36.3464255,127.1398397,335.72,1,,,0,104545,0,0,16,731,1998,4,27,,,,9566,0
4500000,36.4562813,127.1248862,127.43,1,,,1,104545,1,0,16,731,1998,6,18,,,,9514,0
4500000,36.4738234,127.1380354,176.1,1,,,1,104545,1,0,16,731,1999,2,8,,,,9279,0
4510000,36.3511014,126.59139,1231.94,2,10,10,1,100229,1,1,5,140,2000,1,14,,,,8939,0
5580000,36.2891588,127.2423593,528.88,1,10,29,0,42822,1,1,3,30,2000,2,26,,,,8896,0
4540000,36.1927698,127.0911972,573,1,6,21,1,116675,1,1,15,672,1999,2,25,,,,9262,0
4510000,36.3509662,126.5973442,513.87,3,,,1,100229,1,1,5,140,2004,6,7,,,,7333,0
5580000,36.2890477,127.2406067,59.65,1,,,0,42822,1,1,3,30,2002,2,23,,,,8168,0
5580000,36.2888649,127.241309,57.25,1,,,0,42822,1,1,3,30,2002,10,9,,,,7940,0
5580000,36.2889096,127.2411376,200.3,1,,,0,42822,0,0,3,30,2004,5,20,,,,7351,0
5580000,36.2891588,127.2423593,113.05,1,,,0,42822,1,1,3,30,2007,11,28,,,,6064,0
5580000,36.2903966,127.2424791,166.47,2,5,5,0,42822,1,1,3,30,2003,3,26,,,,7772,0
4500000,36.4740037,127.1399469,274.66,1,,,1,104545,1,0,16,731,2006,4,12,,,,6659,0
4500000,36.4573522,127.1250714,252.14,1,,,1,104545,1,1,16,731,2007,10,5,,,,6118,0
4590000,36.3743456,126.9340342,155,1,,,0,30948,1,1,3,25,2002,12,12,,,,7876,0
4540000,36.1915553,127.0983525,568.56,4,,,1,116675,1,1,15,672,2004,3,30,,,,7402,0
4510000,36.3496923,126.5989514,498.98,1,,,1,100229,1,1,5,140,2004,1,2,,,,7490,0
4540000,36.1575069,127.0170259,215.57,1,,,1,116675,1,1,15,672,2006,6,9,,,,6601,0
4500000,36.473991,127.1464745,114.6,1,,,1,104545,1,1,16,731,2002,5,15,,,,8087,0
4500000,36.4564976,127.1319001,872.5,1,10,20,1,104545,1,0,16,731,2002,7,2,,,,8039,0
4500000,36.4584499,127.1247359,79.31,1,,,1,104545,1,1,16,731,2003,2,26,,,,7800,0
4500000,36.4741071,127.1445459,240.9,1,,,1,104545,1,1,16,731,2003,3,7,,,,7791,0
4500000,36.4741071,127.1445459,117.05,1,,,1,104545,1,1,16,731,1999,3,2,,,,9257,0
